State,Year,Total Number of Establishments,Total Population,Average Wage
Alabama,2014,4236.0,2465.0,31782.986206896552
Alabama,2015,714.0,2286.0,36900.79615048119
Alabama,2016,718.0,2194.0,37919.59206927985
Arizona,2014,2148.0,1401.0,38939.390435403286
Arizona,2015,350.0,1451.0,42349.1116471399
Arizona,2016,368.0,1337.0,41906.01795063575
Arkansas,2014,3216.0,1808.0,36542.21681415929
Arkansas,2015,542.0,1735.0,40383.07780979827
Arkansas,2016,532.0,1780.0,39966.48258426967
California,2014,11892.0,11865.0,43583.24433206911
California,2015,1988.0,11861.0,42369.905741505776
California,2016,1996.0,11593.0,42538.42689554041
Colorado,2014,2100.0,1348.0,33591.01632047478
Colorado,2015,356.0,1392.0,33444.71767241379
Colorado,2016,350.0,1385.0,34334.82454873646
Connecticut,2014,3576.0,1544.0,52137.64766839378
Connecticut,2015,592.0,1512.0,50388.91798941799
Connecticut,2016,598.0,1541.0,47426.84231018819
Delaware,2014,756.0,373.0,27150.09383378016
Delaware,2015,122.0,290.0,20181.475862068964
Delaware,2016,124.0,446.0,29866.313901345293
District of Columbia,2014,300.0,122.0,30368.72131147541
District of Columbia,2015,52.0,142.0,36725.366197183095
District of Columbia,2016,48.0,227.0,40486.748898678416
Florida,2014,9948.0,8172.0,34754.10095447871
Florida,2015,1694.0,8165.0,36291.30422535211
Florida,2016,1704.0,7651.0,37937.16664488302
Georgia,2014,6408.0,4197.0,40042.700262091974
Georgia,2015,1072.0,3807.0,40545.13107433675
Georgia,2016,1084.0,4127.0,38147.33389871578
Hawaii,2014,396.0,556.0,39150.35611510791
Hawaii,2015,66.0,641.0,37634.248049922
Hawaii,2016,66.0,618.0,44364.01456310679
Idaho,2014,1020.0,500.0,34530.716
Idaho,2015,166.0,669.0,34599.85949177878
Idaho,2016,168.0,542.0,36403.841328413284
Illinois,2014,12696.0,5396.0,45137.21052631579
Illinois,2015,2110.0,5303.0,44725.45257401471
Illinois,2016,2078.0,5316.0,43478.541196388265
Indiana,2014,7980.0,3653.0,36291.72789488092
Indiana,2015,1304.0,3898.0,32484.667008722423
Indiana,2016,1300.0,4101.0,33904.42014142892
Iowa,2014,5400.0,2138.0,34846.092142188965
Iowa,2015,900.0,1936.0,34634.694214876035
Iowa,2016,892.0,1871.0,32032.387493319082
Kansas,2014,3360.0,1398.0,31572.517882689557
Kansas,2015,566.0,1537.0,31950.98373454782
Kansas,2016,554.0,1624.0,32555.893472906402
Kentucky,2014,5772.0,2725.0,30746.52513761468
Kentucky,2015,966.0,2998.0,34767.53769179453
Kentucky,2016,978.0,2820.0,38823.46560283688
Louisiana,2014,3756.0,3583.0,38015.22104381803
Louisiana,2015,622.0,3441.0,39394.91485033421
Louisiana,2016,630.0,2944.0,40126.76188858696
Maine,2014,1584.0,454.0,37007.202643171804
Maine,2015,258.0,436.0,35311.60779816514
Maine,2016,258.0,581.0,31811.886402753873
Maryland,2014,3708.0,2432.0,39516.45065789474
Maryland,2015,618.0,2251.0,37017.411816970234
Maryland,2016,612.0,2267.0,33694.17115130128
Massachusetts,2014,6180.0,2723.0,50547.18802791039
Massachusetts,2015,1030.0,2927.0,48912.43833276392
Massachusetts,2016,1034.0,3049.0,50311.66349622827
Michigan,2014,8508.0,4518.0,36791.00486941124
Michigan,2015,1406.0,4868.0,35072.521158586685
Michigan,2016,1396.0,5212.0,39021.41193399847
Minnesota,2014,5016.0,2632.0,45892.38829787234
Minnesota,2015,832.0,2423.0,43374.911679735866
Minnesota,2016,828.0,2146.0,41504.326188257226
Mississippi,2014,3144.0,1449.0,39184.92891649414
Mississippi,2015,528.0,1412.0,42821.90297450425
Mississippi,2016,534.0,1479.0,39031.11561866126
Missouri,2014,6720.0,3053.0,35599.36554208975
Missouri,2015,1128.0,3393.0,33192.86147951665
Missouri,2016,1128.0,3383.0,37138.26041974579
Montana,2014,936.0,160.0,43823.98125
Montana,2015,158.0,187.0,46258.994652406414
Montana,2016,156.0,243.0,40967.37448559671
Nebraska,2014,2220.0,1063.0,32417.92474129821
Nebraska,2015,374.0,962.0,31731.907484407486
Nebraska,2016,366.0,986.0,34817.535496957404
Nevada,2014,852.0,590.0,44749.4593220339
Nevada,2015,148.0,565.0,47791.5185840708
Nevada,2016,142.0,476.0,48238.85924369748
New Hampshire,2014,996.0,268.0,54734.30223880597
New Hampshire,2015,166.0,273.0,44645.153846153844
New Hampshire,2016,168.0,296.0,39292.01013513513
