State,Year,Total Population,Average Wage
Alabama,2017,2356.0,38896.424448217316
Alabama,2018,2602.0,42186.57494235204
Alabama,2019,2651.0,40806.92153904187
Alabama,2020,3113.0,37075.149373594606
Alabama,2021,3048.0,38863.53313648294
Alabama,2022,3211.0,41212.73123637496
Alaska,2017,11.0,75839.18181818182
Alaska,2018,11.0,77687.81818181818
Alaska,2019,51.0,34998.78431372549
Alaska,2020,51.0,35435.666666666664
Alaska,2021,52.0,36871.13461538462
Alaska,2022,47.0,27836.787234042553
Arizona,2017,1236.0,45462.87216828479
Arizona,2018,1608.0,42846.79415422885
Arizona,2019,1577.0,43642.24350031706
Arizona,2020,1966.0,43261.3494404883
Arizona,2021,2149.0,47603.69381107492
Arizona,2022,2062.0,51394.48787584869
Arkansas,2017,2000.0,38660.7225
Arkansas,2018,1864.0,39985.73712446352
Arkansas,2019,1957.0,39443.45631067961
Arkansas,2020,2073.0,40169.48962855765
Arkansas,2021,1829.0,44801.610716238385
Arkansas,2022,1451.0,46824.126119917295
California,2017,11875.0,45798.472842105264
California,2018,12467.0,47541.35092644582
California,2019,12797.0,47064.794326795345
California,2020,13190.0,47440.970204700534
California,2021,13164.0,52782.39706776056
California,2022,13556.0,53933.0841693715
Colorado,2017,1349.0,32112.432913269087
Colorado,2018,1390.0,34220.42877697842
Colorado,2019,1518.0,38142.273386034256
Colorado,2020,1587.0,36617.07876496534
Colorado,2021,1768.0,40787.444004524885
Colorado,2022,1794.0,45157.30044593088
Connecticut,2017,1633.0,43752.211267605635
Connecticut,2018,1435.0,39063.35679442509
Connecticut,2019,1414.0,42590.091230551625
Connecticut,2020,1501.0,40838.24650233178
Connecticut,2021,1558.0,50084.77406931964
Connecticut,2022,1531.0,59439.6120182887
Delaware,2017,522.0,31256.208812260535
Delaware,2018,517.0,53964.89748549323
Delaware,2019,478.0,55641.261506276154
Delaware,2020,600.0,50508.935
Delaware,2021,588.0,54294.0918367347
Delaware,2022,586.0,60248.061433447096
District of Columbia,2017,231.0,43735.62337662338
District of Columbia,2018,230.0,44976.782608695656
District of Columbia,2019,171.0,47666.01754385965
District of Columbia,2020,140.0,47690.78571428572
District of Columbia,2021,67.0,48719.92537313433
District of Columbia,2022,99.0,35129.666666666664
Florida,2017,7540.0,38095.293103448275
Florida,2018,7865.0,38786.39618563255
Florida,2019,7304.0,41496.38677437021
Florida,2020,7063.0,43545.13153051111
Florida,2021,7405.0,44075.26144496961
Florida,2022,7271.0,47994.387567047175
Georgia,2017,4169.0,38703.80163108659
Georgia,2018,3881.0,40399.59649574852
